Date,Rf_SP500,Rf_FTSE100,Rf_ASX200,Rf_N225,Rf_DAX,Rf_CAC40,FTSE100,ASX200,DAX,CAC40,N225,Daxret,Frret
1/1/1993,4.558,6.68,1,1,7.249,8.343,0.0668,,0.07249,0.08343,,-0.140571113,-0.112069999
4/1/1993,3.957,6.08,1,1,6.23,7.408,0.0608,,0.0623,0.07408,,,
7/1/1993,4.002,6.007,1,1,6.139,5.889,0.06007,,0.06139,0.05889,,,
10/1/1993,3.875,5.673,1,1,5.719,5.584,0.05673,,0.05719,0.05584,,,
1/1/1994,4.234,5.059,1,1,5.049,5.075,0.05059,,0.05049,0.05075,,,
4/1/1994,5.192,6.656,1,2.45,5.47,5.753,0.06656,,0.0547,0.05753,,,
7/1/1994,6.177,7.352,1,2.583,5.671,6.352,0.07352,,0.05671,0.06352,,,
10/1/1994,6.585,8,1,2.813,6.442,7.011,0.08,,0.06442,0.07011,,,
1/1/1995,7.699,8.085,1,2.813,6.495,7.418,0.08085,,0.06495,0.07418,,,
4/1/1995,6.778,7.577,1,2.028,5.58,7.23,0.07577,,0.0558,0.0723,,,
7/1/1995,5.793,7.651,1,1.178,5.319,6.65,0.07651,,0.05319,0.0665,,,
10/1/1995,5.851,6.832,1,0.655,4.526,6.216,0.06832,,0.04526,0.06216,,,
1/1/1996,5.15,6.21,1,0.797,3.816,5.132,0.0621,,0.03816,0.05132,,,
4/1/1996,5.761,6.856,1,1.085,3.92,4.75,0.06856,,0.0392,0.0475,,,
7/1/1996,6.107,6.318,1,1.145,4.133,4.455,0.06318,,0.04133,0.04455,,,
10/1/1996,6.102,6.215,1,0.85,3.633,4.06,0.06215,,0.03633,0.0406,,,
1/1/1997,5.868,6.801,1,0.671,3.512,3.479,0.06801,,0.03512,0.03479,,,
4/1/1997,6.42,6.999,1,0.712,3.653,3.783,0.06999,,0.03653,0.03783,,,
7/1/1997,6.068,6.929,1,0.923,3.501,3.63,0.06929,,0.03501,0.0363,,,
10/1/1997,5.779,6.92,1,0.6,4.039,3.972,0.0692,,0.04039,0.03972,,,
1/1/1998,5.646,6.788,1,0.619,4.19,4.247,0.06788,,0.0419,0.04247,,,
4/1/1998,5.563,6.695,1,0.61,4.06,4.088,0.06695,,0.0406,0.04088,,,
7/1/1998,5.471,6.894,1,0.565,3.973,4.025,0.06894,,0.03973,0.04025,,,
10/1/1998,4.273,5.639,1,0.352,3.37,3.49,0.05639,,0.0337,0.0349,,,
1/1/1999,4.529,4.899,1,0.76,3.12,3.126,0.04899,,0.0312,0.03126,,,
4/1/1999,4.987,4.734,1,0.271,2.878,2.903,0.04734,,0.02878,0.02903,,,
7/1/1999,5.512,5.321,1,0.517,3.169,3.248,0.05321,,0.03169,0.03248,,,
10/1/1999,5.596,6.106,1,0.266,3.662,3.601,0.06106,,0.03662,0.03601,,,
1/1/2000,6.214,6.43,6.25,0.271,4.208,4.288,0.0643,,0.04208,0.04288,,,
4/1/2000,6.479,6.397,6.268,0.462,4.423,4.447,0.06397,,0.04423,0.04447,,,
7/1/2000,6.362,6.002,5.868,0.513,4.95,5.004,0.06002,,0.0495,0.05004,,,
10/1/2000,5.979,5.848,6.255,0.607,5.043,5.112,0.05848,,0.05043,0.05112,,,
1/1/2001,5.096,5.279,5.281,0.474,4.446,4.546,0.05279,,0.04446,0.04546,,,
4/1/2001,4.18,4.965,4.73,0.163,4.138,4.239,0.04965,,0.04138,0.04239,,,
7/1/2001,4.242,5.496,5.38,0.08,4.281,4.34,0.05496,,0.04281,0.0434,,,
10/1/2001,2.851,4.576,4.23,0.116,3.481,3.54,0.04576,,0.03481,0.0354,,,
1/1/2002,3.026,4.761,4.555,0.116,3.649,3.701,0.04761,,0.03649,0.03701,,,
4/1/2002,3.711,5.093,5.36,0.045,4.334,4.286,0.05093,,0.04334,0.04286,,,
7/1/2002,2.8104,4.695,5.503,0.059,3.925,3.981,0.04695,,0.03925,0.03981,,,
10/1/2002,1.6833,3.485,4.848,0.05,3.071,3.053,0.03485,,0.03071,0.03053,,,
1/1/2003,1.5982,3.754,4.6,0.05,2.721,2.763,0.03754,,0.02721,0.02763,,,
4/1/2003,1.4816,3.42,4.548,0.06,2.407,2.434,0.0342,,0.02407,0.02434,,,
7/1/2003,1.2999,3.485,4.395,0.074,2.125,2.074,0.03485,,0.02125,0.02074,,,
10/1/2003,1.4577,4.015,4.935,0.185,2.297,2.265,0.04015,,0.02297,0.02265,,,
1/1/2004,1.8189,4.298,5.296,0.115,2.605,2.417,0.04298,,0.02605,0.02417,,,
4/1/2004,1.5718,4.416,5.151,0.12,2.134,2.28,0.04416,,0.02134,0.0228,,,
7/1/2004,2.6772,4.957,5.362,0.169,2.723,2.754,0.04957,,0.02723,0.02754,,,
10/1/2004,2.605,4.679,5.142,0.13,2.583,2.539,0.04679,,0.02583,0.02539,,,
1/1/2005,3.0651,4.437,5.05,0.105,2.481,2.378,0.04437,,0.02481,0.02378,,,
